date,close,open,high,low,volune,change
2020年12月13日,19176.8,18808.1,19403.6,18716.8,82.45K,0.0196
2020年12月12日,18808.9,18026.7,18936.2,18025.1,71.37K,0.0436
2020年12月11日,18023.6,18250.5,18288.3,17600.1,111.53K,-0.0123
2020年12月10日,18247.2,18546.1,18551.8,17926.8,85.31K,-0.0161
2020年12月9日,18546,18322.4,18637.9,17658.8,129.72K,0.012
2020年12月8日,18326.6,19170.8,19288.6,18229.2,101.41K,-0.044
2020年12月7日,19170.7,19368.4,19424.6,18908.8,61.98K,-0.0108
2020年12月6日,19379.9,19146,19417.1,18873,54.56K,0.0122
2020年12月5日,19146.5,18657.5,19172.7,18507.1,59.44K,0.0262
2020年12月4日,18658.1,19431.1,19529.5,18610.8,110.63K,-0.0399
2020年12月3日,19433.3,19219.8,19596.6,18883.7,99.97K,0.0112
2020年12月2日,19218.8,18767.9,19335.5,18346.7,91.92K,0.0239
2020年12月1日,18770.7,19697.8,19897.4,18257,208.72K,-0.0471
2020年11月30日,19698.1,18186,19831.2,18186,185.59K,0.0832
2020年11月29日,18185.5,17729.7,18336.3,17530.4,79.12K,0.0257
2020年11月28日,17730.7,17142.6,17874.4,16874.4,95.20K,0.0352
2020年11月27日,17127.1,17160.9,17450.3,16481.6,138.80K,-0.002
2020年11月26日,17162,18721.9,18894.9,16235.2,312.07K,-0.0834
2020年11月25日,18723,19151.5,19486.7,18527.7,146.12K,-0.0224
2020年11月24日,19152.6,18394.6,19416.6,18074.8,180.79K,0.0421
2020年11月23日,18379.6,18428.1,18756.8,18016,127.35K,-0.0018
2020年11月22日,18412.9,18689.3,18751.5,17644.6,121.76K,-0.0147
2020年11月21日,18687.2,18673.8,18966,18397.5,108.91K,0.0006
2020年11月20日,18675.2,17805.5,18811,17758.4,134.42K,0.049
2020年11月19日,17803.5,17775.1,18166,17380.1,135.94K,0.0016
2020年11月18日,17774.6,17662.3,18466.1,17258.9,233.43K,0.0064
2020年11月17日,17662.3,16715.8,17845.4,16562,175.87K,0.0566
2020年11月16日,16715.8,15954.1,16880.7,15870.7,118.09K,0.0478
2020年11月15日,15953,16074.7,16158.1,15782.3,58.43K,-0.0073
2020年11月14日,16071,16323.1,16328.2,15717.7,83.64K,-0.0155
2020年11月13日,16324.2,16293,16474.1,15973.4,113.75K,0.0018
2020年11月12日,16294.7,15695.8,16342.7,15483.5,165.54K,0.0382
2020年11月11日,15695.8,15303.1,15953.9,15281,119.07K,0.0256
2020年11月10日,15303.6,15328,15465.3,15096.5,93.36K,-0.0015
2020年11月9日,15327.2,15483.3,15819.6,14816.9,165.04K,-0.0101
2020年11月8日,15483.7,14826.6,15648.3,14720.7,94.99K,0.0442
2020年11月7日,14828.4,15578.2,15754.4,14385.1,160.73K,-0.0481
2020年11月6日,15577.9,15593.9,15955.2,15223.5,186.13K,-0.0006
2020年11月5日,15587.1,14145.6,15739.9,14099.7,227.49K,0.1019
2020年11月4日,14145.6,14023,14238.8,13544.4,140.80K,0.009
2020年11月3日,14019.9,13560.5,14054,13294.6,108.17K,0.0338
2020年11月2日,13561.4,13759.7,13828.4,13214.2,97.76K,-0.0144
2020年11月1日,13759.4,13795.5,13889.5,13628.7,51.71K,-0.0027
2020年10月31日,13797.3,13560.2,14065.4,13441.7,102.75K,0.0175
2020年10月30日,13559.9,13457,13667.9,13134.5,108.77K,0.0076
2020年10月29日,13457.2,13278.3,13640,12982.9,111.23K,0.0134
2020年10月28日,13278.9,13658.3,13851.7,12907.6,144.18K,-0.0277
2020年10月27日,13657.8,13061.5,13782.3,13050.3,128.64K,0.0456
2020年10月26日,13061.6,13033,13229.7,12792.4,89.47K,0.0023
2020年10月25日,13032.2,13117,13345.3,12900.4,59.73K,-0.0065
2020年10月24日,13117.2,12933.6,13161.5,12876.4,51.20K,0.0142
2020年10月23日,12934.1,12972.7,13025.5,12738.9,73.94K,-0.0031
2020年10月22日,12974.6,12805.5,13183.9,12698.2,113.31K,0.013
2020年10月21日,12808.7,11913.6,13213.5,11894.6,197.72K,0.0751
2020年10月20日,11913.5,11753.9,12029.4,11685.7,94.59K,0.0136
2020年10月19日,11753.4,11507.1,11823.3,11413.9,73.04K,0.0214
2020年10月18日,11506.9,11362.1,11506.9,11349.8,31.51K,0.0127
2020年10月17日,11362.1,11321.8,11402.7,11274.4,29.86K,0.0035
2020年10月16日,11322,11503.2,11542.2,11224.6,71.42K,-0.0157
2020年10月15日,11503,11421.4,11590.9,11276.7,70.84K,0.0072
2020年10月14日,11420.4,11424.4,11541,11293.5,59.12K,-0.0003
2020年10月13日,11423.8,11533.5,11558,11315.9,64.67K,-0.0095
2020年10月12日,11533.9,11370.8,11715.9,11227.4,84.02K,0.0143
2020年10月11日,11371,11295.6,11439.4,11277.6,41.06K,0.0064
2020年10月10日,11298.4,11053.5,11475,11053.1,65.81K,0.0221
2020年10月9日,11054.2,10923.5,11103,10836.9,70.95K,0.0119
2020年10月8日,10924.1,10670.7,10948.6,10549.6,79.78K,0.0237
2020年10月7日,10670.9,10601,10680.1,10553.3,49.27K,0.0064
2020年10月6日,10602.6,10790.2,10800.3,10530.8,69.07K,-0.0173
2020年10月5日,10789.5,10672.5,10789.6,10623.4,48.86K,0.0109
2020年10月4日,10672.9,10544.4,10693.3,10520.8,31.40K,0.0122
2020年10月3日,10544.2,10572.2,10597.8,10501.2,29.10K,-0.0027
2020年10月2日,10572.3,10619.6,10662.9,10387.6,77.94K,-0.0045
2020年10月1日,10620.5,10776.6,10913.7,10462.7,95.33K,-0.0144
2020年9月30日,10776.1,10843.4,10847.7,10667.6,55.55K,-0.006
2020年9月29日,10840.9,10694.3,10858.4,10642.4,59.64K,0.0138
2020年9月28日,10693.2,10776.4,10946.6,10685.2,72.29K,-0.0077
2020年9月27日,10776.2,10727.9,10799.2,10602.7,40.92K,0.0045
2020年9月26日,10727.9,10688.9,10793.3,10650.2,37.85K,0.0037
2020年9月25日,10688.8,10739.9,10756,10558.9,71.43K,-0.0047
2020年9月24日,10739.4,10238.1,10787.8,10201,82.95K,0.049
2020年9月23日,10237.3,10531.5,10535.4,10146.6,74.95K,-0.0279
2020年9月22日,10531.5,10419.4,10570.7,10361.7,63.52K,0.011
2020年9月21日,10416.8,10919.9,10987.2,10328.5,109.85K,-0.0462
2020年9月20日,10921.5,11081.6,11081.6,10772.7,53.39K,-0.0145
2020年9月19日,11081.8,10933,11177.1,10890.7,51.63K,0.0136
2020年9月18日,10933,10941.3,11029.7,10818.7,63.48K,-0.0008
2020年9月17日,10941.3,10950.1,11039.3,10755.2,77.22K,-0.0007
2020年9月16日,10949.5,10785.2,11093.3,10669.2,94.94K,0.0152
2020年9月15日,10785.3,10675.2,10931.8,10627.8,91.70K,0.0103
2020年9月14日,10675.3,10332.7,10744.3,10264.5,96.64K,0.0338
2020年9月13日,10326,10441.7,10579.6,10219.4,66.12K,-0.0111
2020年9月12日,10441.9,10390.2,10476.8,10275.9,48.49K,0.005
2020年9月11日,10390.2,10339.8,10398.8,10212.6,62.28K,0.0049
2020年9月10日,10339.7,10224.3,10480.3,10219.2,88.01K,0.0113
2020年9月9日,10224.6,10126.8,10343.3,9984.6,71.37K,0.0097
2020年9月8日,10126.6,10376.9,10434.4,9877.1,113.90K,-0.0241
2020年9月7日,10376.9,10296.4,10400.9,9887,12.40M,0.0078
2020年9月6日,10296.4,10092.2,10337.7,10004.7,12.12M,0.0202
2020年9月5日,10092.2,10472.3,10558.7,9897.8,14.72M,-0.0363
2020年9月4日,10472.5,10168.7,10614.2,9960.3,12.50M,0.0299
2020年9月3日,10168.8,11413.2,11442.7,10009.5,9.65M,-0.109
2020年9月2日,11413.3,11914.4,11947.5,11244.9,20.26M,-0.0421
2020年9月1日,11914.9,11644.2,12045.9,11544.6,580.69K,0.0232
